platform_shop_id,year_month,shop_name,brand,category,sido,sigungu,experiment_group,final_growth_probability,probability_score,growth_alpha_score,review_growth_score,operation_score,stability_score,market_fit_score,gromong_score,grade,historical_internal_growth_alpha,historical_review_growth_3m,reply_rate,avg_reply_delay_hours,order_count,sales_amount,review_count,is_seoul_external,market_q4_avg_ticket,store_vs_market_ticket_ratio,brand_percentile_score,category_percentile_score,calibrated_score,calibrated_grade,overall_rank,calibrated_rank,brand_rank,category_rank,rank_change,recommendation_track,recommendation_reason
ba_13223654,2025-09,본죽&비빔밥 고양행신역점,본그룹,백반·죽·국수,경기도,고양시,실험군,0.8454139332926321,84.54139332926322,95.71935486534977,100.0,96.24685202924383,69.01664199670587,50.0,89.86,A,2.437104,4.181818,0.963,73.22,138,2294400.0,27,0,,,98.8792,98.8792,94.3696,A,10,10,10,10,0,category_balanced,백반·죽·국수 카테고리 내부 보정 점수 상위 후보
ba_14766686,2025-09,굽네치킨 운정2호점,굽네치킨,피자,경기도,파주시,실험군,0.9941542016371898,99.41542016371898,100.0,100.0,87.21410866367204,0.0,50.0,87.88,A,40.43611,203.0,0.8881,212.33,1186,33335220.0,143,0,,,100.0000,100.0000,93.9400,A,20,13,1,1,7,category_balanced,피자 카테고리 내부 보정 점수 상위 후보
ba_14758255,2025-09,굽네치킨&피자 대구송현점,굽네치킨,치킨,대구광역시,달서구,실험군,0.7634528086941503,76.34528086941503,100.0,100.0,91.94374121196985,66.48066239645664,50.0,87.16,A,3.125269,13.0,1.0,297.31,290,7356500.0,13,0,,,99.7732,100.0000,93.5233,A,25,16,2,1,9,category_balanced,치킨 카테고리 내부 보정 점수 상위 후보
ba_14757543,2025-09,굽네치킨&피자 동두천중앙점,굽네치킨,치킨,경기도,동두천시,실험군,0.8051729913131777,80.51729913131777,100.0,100.0,88.5379077509143,33.734680816567135,50.0,84.84,A,3.225875,3.807692,0.9219,241.5,518,15041200.0,64,0,,,99.5465,99.6753,92.2255,A,36,26,3,2,10,category_balanced,치킨 카테고리 내부 보정 점수 상위 후보
ba_14335138,2025-09,굽네치킨&피자 대전비래가양점,굽네치킨,치킨,대전광역시,동구,실험군,0.6484906269160196,64.84906269160196,100.0,100.0,98.50696713319489,70.44596268615845,50.0,84.52,A,6.248925,26.0,1.0,78.06,164,5075700.0,9,0,,,99.3197,99.3506,91.9276,A,40,28,4,3,12,category_balanced,치킨 카테고리 내부 보정 점수 상위 후보
ba_14757711,2025-09,굽네치킨&피자 칠금문화점,굽네치킨,치킨,충청북도,충주시,실험군,0.7392534324260336,73.92534324260336,100.0,100.0,70.89437429225353,69.05523868770729,50.0,83.41,A,3.425343,3.3,0.6,131.93,395,11473400.0,10,0,,,99.0930,99.0260,91.2347,A,55,32,5,4,23,category_balanced,치킨 카테고리 내부 보정 점수 상위 후보
ba_14459736,2025-09,굽네치킨,굽네치킨,치킨,경기도,남양주시,실험군,0.6469352119347559,64.69352119347559,100.0,100.0,72.45610684020923,90.25723401890403,50.0,82.54,A,2.765138,8.0,0.6667,224.59,160,5232200.0,3,0,,,98.8662,98.7013,90.6619,A,66,38,6,5,28,category_balanced,치킨 카테고리 내부 보정 점수 상위 후보
ba_14732026,2025-09,굽네치킨 부산전포점,굽네치킨,치킨,부산광역시,부산진구,실험군,0.9921082611345028,99.21082611345028,66.43545485921413,100.0,86.14774667209485,0.0,50.0,79.25,B,1.11624,3.175439,1.0,490.93,2969,66133700.0,460,0,,,98.6395,98.3766,88.8790,A,93,56,7,6,37,category_balanced,치킨 카테고리 내부 보정 점수 상위 후보
ba_14739745,2025-09,굽네치킨 감정점,굽네치킨,치킨,경기도,김포시,실험군,0.8536560885457133,85.36560885457133,59.638629175055115,100.0,93.59554876651123,49.449478650520305,50.0,78.77,B,0.809666,3.458333,1.0,242.13,626,17293000.0,53,0,,,98.4127,98.0519,88.5012,A,100,59,8,7,41,category_balanced,치킨 카테고리 내부 보정 점수 상위 후보
ba_14744959,2025-09,굽네치킨 부산수정점,굽네치킨,치킨,부산광역시,동구,실험군,0.8469839174384315,84.69839174384315,61.60131806637411,100.0,96.7521835368336,36.22360288893532,50.0,78.18,B,0.898194,3.727273,1.0,136.68,685,17346200.0,74,0,,,98.1859,97.7273,88.0683,A,113,63,9,8,50,category_balanced,치킨 카테고리 내부 보정 점수 상위 후보
